source_name,channel_type,date,ad_spend,impressions,clicks,leads,revenue
Email Campaign,email,2023-04-25,2542.89,796358,19526,2031,19880.74
Official Website,web,2024-10-31,9859.43,716225,47364,2579,1842.65
Word of Mouth,referral,2023-09-16,5216.92,148944,30754,3040,17410.24
HH.ru,job,2023-05-02,8806.11,17839,47097,2085,8840.42
Email Campaign,email,2023-10-26,8638.77,156724,17764,3396,9374.89
Facebook Ads,ads,2024-01-16,5603.68,410075,13128,914,2988.1
VK Group,social,2024-07-14,7360.19,698880,25537,4468,1151.94
Email Campaign,email,2024-05-15,2734.77,350984,4689,2095,6674.25
Word of Mouth,referral,2023-10-24,7195.57,190338,8233,2721,3909.64
HH.ru,job,2023-12-28,3451.46,254433,39500,3714,9925.11
Official Website,web,2024-08-11,8488.56,392173,15559,153,3372.95
Word of Mouth,referral,2024-04-07,1753.52,341660,19268,3659,3189.59
Word of Mouth,referral,2024-03-13,7958.25,704453,7498,3278,17601.09
VK Group,social,2023-05-07,1899.43,717330,23192,1079,18465.25
Avito.ru,ads,2023-07-16,8930.7,583908,12477,2195,19302.22
HH.ru,job,2023-08-09,3737.84,796857,9403,2547,13769.8
Telegram Channel,social,2023-04-01,6889.54,870109,25732,4446,15534.82
Word of Mouth,referral,2024-02-15,5387.52,585015,42155,311,16797.8
Avito.ru,ads,2023-01-08,4296.73,740953,46735,2175,13348.98
Telegram Channel,social,2024-06-27,6808.98,191057,35168,1770,6939.74
HH.ru,job,2024-04-12,9527.71,238411,24453,4256,3549.55
University Ads,ads,2023-11-16,1371.43,712444,15365,2664,5126.83
Facebook Ads,ads,2024-01-29,9269.68,341786,36859,4877,16888.07
Avito.ru,ads,2023-09-26,6481.73,619911,16997,1458,14073.9
Google Ads,ads,2023-07-10,8265.83,273552,37099,641,9388.02
University Ads,ads,2024-11-05,4454.87,750761,43736,371,1073.4
Facebook Ads,ads,2023-03-02,5246.59,589625,39420,4201,5690.99
VK Group,social,2024-03-13,8819.66,769485,8412,4397,14713.5
Email Campaign,email,2023-09-21,4733.63,774026,42561,2084,10491.55
Official Website,web,2023-04-05,5811.94,573900,19331,4410,8992.88
Google Ads,ads,2024-07-06,1181.75,180235,33985,2780,6616.75
VK Group,social,2024-04-14,2427.38,662236,44051,2927,12335.17
HH.ru,job,2024-10-22,6775.18,812275,42683,778,19344.52
VK Group,social,2024-12-16,7452.79,714724,40729,995,18071.91
Email Campaign,email,2024-05-28,6243.41,824909,35106,214,1094.71
HH.ru,job,2024-11-20,2289.79,763353,39468,876,9878.6
Google Ads,ads,2023-07-13,5008.65,917531,14131,2635,6924.65
Email Campaign,email,2024-04-26,4195.85,202154,2533,671,10456.79
Telegram Channel,social,2023-12-02,5460.95,168402,25478,688,12321.17
Official Website,web,2024-03-10,8832.96,104747,23493,309,4400.55
Google Ads,ads,2023-07-15,7982.75,965073,7266,267,15740.58
Telegram Channel,social,2023-09-06,1755.91,582402,37241,2772,9763.83
Facebook Ads,ads,2024-05-12,9012.78,863726,41014,249,19844.12
Google Ads,ads,2023-07-31,5245.9,729466,1571,3310,989.98
Facebook Ads,ads,2024-10-26,7694.76,834980,9118,3555,4199.52
HH.ru,job,2024-10-31,2260.35,859030,29716,2275,13947.78
Telegram Channel,social,2024-04-10,7036.48,366849,30871,2522,14056.01
Official Website,web,2024-10-12,3126.93,676620,17912,4300,11852.67
Email Campaign,email,2023-08-09,4945.43,828782,15129,4461,19453.22
Word of Mouth,referral,2023-09-30,1151.77,707101,4406,4670,8598.64
VK Group,social,2023-06-03,2364.5,108214,13277,4413,8632.22
University Ads,ads,2023-09-06,1828.72,663173,3881,418,18254.29
Official Website,web,2023-10-06,3157.7,317325,26701,530,10999.61
Telegram Channel,social,2024-03-15,1900.16,398454,18801,2542,7397.69
Word of Mouth,referral,2023-10-03,7227.19,93446,6788,3894,14519.29
Official Website,web,2024-05-28,1261.36,141912,17490,1886,12583.58
Telegram Channel,social,2023-03-29,6559.66,989926,34505,2751,6475.0
Avito.ru,ads,2024-10-03,2266.37,945229,25520,3542,6309.61
Avito.ru,ads,2024-05-19,9506.45,284443,37979,660,8214.45
Facebook Ads,ads,2024-08-12,9397.85,847084,23933,2854,1896.59
Official Website,web,2023-08-29,3029.53,498741,12785,2168,18881.03
Avito.ru,ads,2024-10-14,6529.79,755401,32592,2661,4068.89
Telegram Channel,social,2024-11-05,1252.05,343239,19771,2277,4279.57
Facebook Ads,ads,2023-08-24,9386.1,245302,35729,1038,13117.25
Telegram Channel,social,2023-05-08,5706.89,435813,49890,1565,14622.82
